ts,has_bbox,conf,cx,cy,w,h,active_zone,zone_timer_sec,fps_receiver,fps_infer,fps_stream,jitter_px
1767349037.692261,0,0.0000,0.00,0.00,0,0,,0.00,54.37,7.55,11.83,0.00
1767349037.8285196,0,0.0000,0.00,0.00,0,0,,0.00,54.37,7.55,12.57,0.00
1767349037.955346,0,0.0000,0.00,0.00,0,0,,0.00,63.12,7.55,12.57,0.00
1767349038.0998168,0,0.0000,0.00,0.00,0,0,,0.00,63.12,7.55,12.57,0.00
1767349038.2325962,0,0.0000,0.00,0.00,0,0,,0.00,63.12,7.55,12.57,0.00
1767349038.3606827,0,0.0000,0.00,0.00,0,0,,0.00,63.12,7.55,12.57,0.00
1767349038.4976633,0,0.0000,0.00,0.00,0,0,,0.00,63.12,7.55,12.57,0.00
1767349038.6387746,0,0.0000,0.00,0.00,0,0,,0.00,63.12,7.55,12.57,0.00
1767349038.7713017,0,0.0000,0.00,0.00,0,0,,0.00,63.12,7.41,8.89,0.00
1767349038.9097624,0,0.0000,0.00,0.00,0,0,,0.00,59.55,7.41,8.89,0.00
1767349039.0387702,0,0.0000,0.00,0.00,0,0,,0.00,59.55,7.41,8.89,0.00
1767349039.1649373,0,0.0000,0.00,0.00,0,0,,0.00,59.55,7.41,8.89,0.00
1767349039.2997642,0,0.0000,0.00,0.00,0,0,,0.00,59.55,7.41,8.89,0.00
1767349039.427905,0,0.0000,0.00,0.00,0,0,,0.00,59.55,7.41,8.89,0.00
1767349039.5564775,0,0.0000,0.00,0.00,0,0,,0.00,59.55,7.41,8.89,0.00
1767349039.721024,0,0.0000,0.00,0.00,0,0,,0.00,59.55,7.41,8.89,0.00
1767349039.8449981,0,0.0000,0.00,0.00,0,0,,0.00,59.55,7.45,10.82,0.00
1767349040.1018827,0,0.0000,0.00,0.00,0,0,,0.00,63.23,7.45,10.82,0.00
1767349040.241522,0,0.0000,0.00,0.00,0,0,,0.00,63.23,7.45,10.82,0.00
1767349040.4987593,0,0.0000,0.00,0.00,0,0,,0.00,63.23,7.45,10.82,0.00
1767349040.6421077,0,0.0000,0.00,0.00,0,0,,0.00,63.23,7.45,10.82,0.00
1767349040.8937147,0,0.0000,0.00,0.00,0,0,,0.00,63.23,4.77,10.82,0.00
1767349041.0411024,0,0.0000,0.00,0.00,0,0,,0.00,58.88,4.77,9.38,0.00
1767349041.3087323,0,0.0000,0.00,0.00,0,0,,0.00,58.88,4.77,9.38,0.00
1767349041.4316468,0,0.0000,0.00,0.00,0,0,,0.00,58.88,4.77,9.38,0.00
1767349041.5625308,0,0.0000,0.00,0.00,0,0,,0.00,58.88,4.77,9.38,0.00
1767349041.6953025,0,0.0000,0.00,0.00,0,0,,0.00,58.88,4.77,9.38,0.00
1767349041.8292773,0,0.0000,0.00,0.00,0,0,,0.00,58.88,4.77,9.38,0.00
1767349041.9683516,0,0.0000,0.00,0.00,0,0,,0.00,58.88,6.51,9.38,0.00
1767349042.096167,0,0.0000,0.00,0.00,0,0,,0.00,58.76,6.51,8.37,0.00
1767349042.248801,0,0.0000,0.00,0.00,0,0,,0.00,58.76,6.51,8.37,0.00
1767349042.489158,0,0.0000,0.00,0.00,0,0,,0.00,58.76,6.51,8.37,0.00
1767349042.6279643,0,0.0000,0.00,0.00,0,0,,0.00,58.76,6.51,8.37,0.00
1767349042.7729213,0,0.0000,0.00,0.00,0,0,,0.00,58.76,6.51,8.37,0.00
1767349042.901816,0,0.0000,0.00,0.00,0,0,,0.00,58.76,6.51,8.37,0.00
1767349043.0344226,0,0.0000,0.00,0.00,0,0,,0.00,58.76,6.57,8.37,0.00
1767349043.1657267,0,0.0000,0.00,0.00,0,0,,0.00,62.18,6.57,9.38,0.00
1767349043.290006,0,0.0000,0.00,0.00,0,0,,0.00,62.18,6.57,9.38,0.00
1767349043.422912,0,0.0000,0.00,0.00,0,0,,0.00,62.18,6.57,9.38,0.00
1767349043.5626502,0,0.0000,0.00,0.00,0,0,,0.00,62.18,6.57,9.38,0.00
1767349043.6897612,0,0.0000,0.00,0.00,0,0,,0.00,62.18,6.57,9.38,0.00
1767349043.831306,0,0.0000,0.00,0.00,0,0,,0.00,62.18,6.57,9.38,0.00
1767349043.96965,0,0.0000,0.00,0.00,0,0,,0.00,62.18,6.57,9.38,0.00
1767349044.0945024,0,0.0000,0.00,0.00,0,0,,0.00,62.18,7.55,9.38,0.00
1767349044.223775,0,0.0000,0.00,0.00,0,0,,0.00,58.30,7.55,10.38,0.00
1767349044.3625586,0,0.0000,0.00,0.00,0,0,,0.00,58.30,7.55,10.38,0.00
1767349044.4940405,0,0.0000,0.00,0.00,0,0,,0.00,58.30,7.55,10.38,0.00
1767349044.6318283,0,0.0000,0.00,0.00,0,0,,0.00,58.30,7.55,10.38,0.00
1767349044.7677171,0,0.0000,0.00,0.00,0,0,,0.00,58.30,7.55,10.38,0.00
1767349044.8913724,0,0.0000,0.00,0.00,0,0,,0.00,58.30,7.55,10.38,0.00
1767349045.0328612,0,0.0000,0.00,0.00,0,0,,0.00,58.30,7.55,10.38,0.00
1767349045.1736479,0,0.0000,0.00,0.00,0,0,,0.00,58.30,7.41,10.38,0.00
1767349045.3004966,0,0.0000,0.00,0.00,0,0,,0.00,58.49,7.41,9.27,0.00
1767349045.4355886,0,0.0000,0.00,0.00,0,0,,0.00,58.49,7.41,9.27,0.00
1767349045.555196,0,0.0000,0.00,0.00,0,0,,0.00,58.49,7.41,9.27,0.00
1767349045.6899397,0,0.0000,0.00,0.00,0,0,,0.00,58.49,7.41,9.27,0.00
1767349045.8313758,0,0.0000,0.00,0.00,0,0,,0.00,58.49,7.41,9.27,0.00
